# DG14. Three deterministic delta baselines against the optimality certificate, on the 2000 items of the direct benchmark
# generated 2026-08-18 01:26:37 +0800 by code/scripts/delta_baselines.py (l1-dg14-delta-baselines-1)
# inputs:
#   direct     analysis/DG1_direct_guard.csv  sha256 32d8e190b4b0ecb725f2ae3ddcf506dec062e736fb6b0d725a273a3f35293a4f
#   summary    analysis/DG1_direct_guard_summary.csv  sha256 e48e336e549d1a02342750d56648fe37f42c6390d3acfb6039bb26f89f9a91bb
#   anchor     analysis/ladder/rule_anchor.csv  sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
#   suite      code/suite/v0.2/suite.jsonl  sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
#   tau_sweep  analysis/DG1_direct_guard_tau.csv  sha256 501a83cc68a8e2221b99ac8c9c1380510afaeb9fb8dfdd47c2be7786be498572
#   macros     manuscript/macros.tex  (read for the two published shares only)
# the delta rules REPLACE THE QUALITY STAGE ONLY: the schema and feasibility verdicts of the logged run are reused unchanged, so the 365 items blocked before the quality stage stay blocked under every guard here
# WT_prop  = obj_bh of the logged run (adjusted fields); recomputed here and asserted equal
# WT_ref1  = no-op dispatch of the UNADJUSTED instance (analysis/ladder/rule_anchor.csv, one per instance)
# WT_ref2  = the same adjusted fields dispatched with the proposal's added dispatch constraints removed (l1suite/checks.py::measure)
# D-REL1 refuses iff (WT_prop-WT_ref1)/max(WT_ref1,1) > theta;  D-REL2 the same against WT_ref2;  D-ABS refuses iff WT_prop-WT_ref1 > A bh
# every WT difference is rounded to 6 decimals in bh before it is thresholded, which is what l1suite/checks.py::measure does to the suite's stored badness
# D-REL1-ORIG is a SENSITIVITY, not a headline baseline: it scores both sides on the instance's original fields
# G-CERT is the deployed certificate, refusing iff the Tier-2 certified gap exceeds the tolerance; its tau=0.2 row is the manuscript's published operating point
# tolerance grid (50 values): 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 1
# absolute grid (20 values, bh): 0.5, 0.6371, 0.8119, 1.0346, 1.3183, 1.6799, 2.1407, 2.7278, 3.476, 4.4293, 5.6442, 7.1922, 9.1649, 11.6786, 14.8818, 18.9635, 24.1647, 30.7924, 39.238, 50
# matched operating point: the setting whose benign false-block count is at most the certificate's (21), maximising V3 refusals, ties to higher overall violation refusal, then fewer benign false blocks, then the widest tolerance
# refused_share denominator = all class items (the convention the published macros use); refused_share_nonempty denominator = items carrying a non-empty proposal
# no randomness anywhere; the dispatcher is deterministic at (rule=atc, seed=0); 1635 counterfactual references recomputed in 48.6 s on 12 worker(s)
# self-check: 118 assertions passed
block,guard,setting_kind,setting,class,items,nonempty_items,reached_qual,pre_qual_refused,qual_refused,refused,refused_share,refused_share_nonempty,stat,note
population,,,,benign,800,800,800,0,,,,,0,stat = quality-reaching items whose canonical proposal is empty; 160 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V1,160,130,30,130,,,,,30,stat = quality-reaching items whose canonical proposal is empty; 30 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V2,200,200,0,200,,,,,0,stat = quality-reaching items whose canonical proposal is empty; 0 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V3,220,220,220,0,,,,,0,stat = quality-reaching items whose canonical proposal is empty; 0 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V4,220,220,220,0,,,,,0,stat = quality-reaching items whose canonical proposal is empty; 130 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V5,200,0,200,0,,,,,200,stat = quality-reaching items whose canonical proposal is empty; 200 of the quality-reaching items have a counterfactual reference identical to the objective by construction
population,,,,V6,200,175,165,35,,,,,25,stat = quality-reaching items whose canonical proposal is empty; 25 of the quality-reaching items have a counterfactual reference identical to the objective by construction
sweep,D-REL1,theta,0.02,benign,800,800,800,0,12,12,1.5000,1.5000,,
sweep,D-REL1,theta,0.02,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.02,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.02,V3,220,220,220,0,217,217,98.6364,98.6364,,
sweep,D-REL1,theta,0.02,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL1,theta,0.02,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.02,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.02,violations_all,1200,945,835,365,282,647,53.9167,68.4656,,
sweep,D-REL1,theta,0.02,all,2000,1745,1635,365,294,659,32.9500,37.7650,,
sweep,D-REL1,theta,0.03,benign,800,800,800,0,12,12,1.5000,1.5000,,
sweep,D-REL1,theta,0.03,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.03,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.03,V3,220,220,220,0,214,214,97.2727,97.2727,,
sweep,D-REL1,theta,0.03,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL1,theta,0.03,V5,200,0,200,0,0,0,0.0000,,,
sweep,D-REL1,theta,0.03,V6,200,175,165,35,15,50,25.0000,28.5714,,
sweep,D-REL1,theta,0.03,violations_all,1200,945,835,365,279,644,53.6667,68.1481,,
sweep,D-REL1,theta,0.03,all,2000,1745,1635,365,291,656,32.8000,37.5931,,
sweep,D-REL1,theta,0.04,benign,800,800,800,0,12,12,1.5000,1.5000,,
sweep,D-REL1,theta,0.04,V1,160,130,30,130,0,130,81.2500,100.0000,,
sweep,D-REL1,theta,0.04,V2,200,200,0,200,0,200,100.0000,100.0000,,
sweep,D-REL1,theta,0.04,V3,220,220,220,0,214,214,97.2727,97.2727,,
sweep,D-REL1,theta,0.04,V4,220,220,220,0,50,50,22.7273,22.7273,,
sweep,D-REL1,theta,0.04,V5,200,0,200,0,0,0,0.0000,,,
