# DG7 violation pass-through, decomposed.  generated 2026-08-17 17:28:04 +0800 by code/scripts/passthrough_decompose.py (l1-dg7-passthrough-1)
# pass-through = applied / violations, where applied means the terminal is applied_with_certificate or applied_uncertified (l1guard.verdict.APPLIED_STATES)
# nonempty adds the condition n_ops > 0; the denominator is unchanged, matching ladder_replay.summarise_profile
# catchable = V1 + V2 + V3 + the 55 V4 items with quality_visible_candidate = true (635 per repeat); outside = V5 + V6 + the 165 quality-neutral V4 items (565 per repeat)
# E1 cells cover 2 modes x thinking settings x repeats, so a denominator is 1,200 x (repeats in that cell)
# the *_strict columns apply the V4/V6 content rule (code/scripts/passthrough_rule.py): an applied V4 or V6 row counts unless the applied operations are exactly the item's non-empty gold_ops, order ignored; every other class and every legacy column is unchanged
# self-check: 73 assertions against analysis/T4_trustworthiness.csv, all passed
# source code/suite/v0.2/suite.jsonl  sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# source analysis/T4_trustworthiness.csv  sha256 94008aacf555850cafdf3985a8cc188669bc5ac9aefad6260dbaabc4c6fac949
# source analysis/ladder/oracle_items.jsonl  sha256 a11d646f1a07f90804d4549d12eebc2c82fc32874597c50c6dccef10ba06956c
# source results/e1_eval_qwen14b/verdicts_UNGUARDED.jsonl  sha256 c0133f83d8e1a0778d90c83df9656cf0a08126883ddd54997eaac3f268e036ef
# source results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl  sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# source results/e1_eval_qwen14b/verdicts_G_CERT.jsonl  sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# source results/e1_eval_qwen14b/proposals.jsonl  sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# source results/e1_eval_qwen27b/verdicts_UNGUARDED.jsonl  sha256 5651867665d16c0042acc391364a78570acd8fe197a8a7c72fb0fa33bce40076
# source results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl  sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# source results/e1_eval_qwen27b/verdicts_G_CERT.jsonl  sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# source results/e1_eval_qwen27b/proposals.jsonl  sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# source results/e1_eval_glm9b/verdicts_UNGUARDED.jsonl  sha256 f4f2da5c1148e574da72fde4b58d444da025ab5b44a0d41e37e39a760551d779
# source results/e1_eval_glm9b/verdicts_G_FEAS.jsonl  sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# source results/e1_eval_glm9b/verdicts_G_CERT.jsonl  sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# source results/e1_eval_glm9b/proposals.jsonl  sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# source results/e1_eval_gpt54mini/verdicts_UNGUARDED.jsonl  sha256 398100d6dbf10dbc911d34b25797f5a78b9720ccb4f00505233a329ddd2592c9
# source results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl  sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# source results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl  sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# source results/e1_eval_gpt54mini/proposals.jsonl  sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# source results/e1_eval_deepseek/verdicts_UNGUARDED.jsonl  sha256 945cb93d2609d9397b37d41dd2057ed639f644f0c6ce56b4179c72cf1d04bd83
# source results/e1_eval_deepseek/verdicts_G_FEAS.jsonl  sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# source results/e1_eval_deepseek/verdicts_G_CERT.jsonl  sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# source results/e1_eval_deepseek/proposals.jsonl  sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# source results/e1_eval_sonnet5/verdicts_UNGUARDED.jsonl  sha256 9d226d2ecf206fa0088019c58cf8859a227a4480d9343eac54ea53d3b45cdb75
# source results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl  sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# source results/e1_eval_sonnet5/verdicts_G_CERT.jsonl  sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# source results/e1_eval_sonnet5/proposals.jsonl  sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# source results/e1_eval_opus5/verdicts_UNGUARDED.jsonl  sha256 7f5851ea723e235e4b35b8dce402b93bf97785ea025171b099b304f66e287e5f
# source results/e1_eval_opus5/verdicts_G_FEAS.jsonl  sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# source results/e1_eval_opus5/verdicts_G_CERT.jsonl  sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# source results/e1_eval_opus5/proposals.jsonl  sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# source results/e1_eval_sol/verdicts_UNGUARDED.jsonl  sha256 572268c45dc8e34e82da7bb3713a745e4f28541395a5a20eff593718b85df3ce
# source results/e1_eval_sol/verdicts_G_FEAS.jsonl  sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
# source results/e1_eval_sol/verdicts_G_CERT.jsonl  sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# source results/e1_eval_sol/proposals.jsonl  sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
system,arm,model,config,mode,thinking,rows,violations_n,applied_total,pass_through_total,applied_nonempty,pass_through_nonempty,catchable_n,catchable_applied,pass_through_catchable,catchable_applied_nonempty,pass_through_catchable_nonempty,outside_n,outside_applied,pass_through_outside,outside_applied_nonempty,pass_through_outside_nonempty,applied_total_strict,pass_through_total_strict,applied_nonempty_strict,pass_through_nonempty_strict,catchable_applied_strict,pass_through_catchable_strict,catchable_applied_nonempty_strict,pass_through_catchable_nonempty_strict,outside_applied_strict,pass_through_outside_strict,outside_applied_nonempty_strict,pass_through_outside_nonempty_strict,applied_empty_n,applied_empty_share_of_applied,cert_empty_n,v5_n,v5_applied_nonempty,v5_pass_through_nonempty,v6_n,v6_applied_nonempty,v6_pass_through_nonempty,v6_applied_nonempty_strict,v6_pass_through_nonempty_strict,content_rows_matched,content_rows_unmatched,v4_applied_nonempty_checked,v4_applied_trap,v4_applied_gold,v4_applied_neither,v4_pass_strict,v6_applied_nonempty_checked,v6_payload_checkable_n,v6_applied_payload_exact,v6_applied_payload_superset,v6_applied_payload_target,v6_pass_strict,v6_carrier_n,v6_carrier_applied_nonempty,v6_nocarrier_n,v6_nocarrier_applied_nonempty
ORACLE,,"ground-truth translation, no guard",-,-,-,2000,1200,485,0.404167,485,0.404167,635,275,0.433071,275,0.433071,565,210,0.371681,210,0.371681,220,0.183333,220,0.183333,220,0.346457,220,0.346457,0,0.000000,0,0.000000,0,0.000000,0,200,0,0.000000,200,45,0.225000,0,0.000000,265,0,220,0,220,0,0,45,175,0,0,0,0,45,45,155,0
ORACLE+G_CERT,,ground-truth translation behind G-CERT,G_CERT,-,-,2000,1200,276,0.230000,276,0.230000,635,70,0.110236,70,0.110236,565,206,0.364602,206,0.364602,19,0.015833,19,0.015833,19,0.029921,19,0.029921,0,0.000000,0,0.000000,0,0.000000,0,200,0,0.000000,200,43,0.215000,0,0.000000,257,0,214,0,214,0,0,43,175,0,0,0,0,45,43,155,0
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_constrained,-,6000,3600,3008,0.835556,2596,0.721111,1905,1380,0.724409,1305,0.685039,1695,1628,0.960472,1291,0.761652,2560,0.711111,2148,0.596667,1224,0.642520,1149,0.603150,1336,0.788201,999,0.589381,412,0.136968,0,600,257,0.428333,600,549,0.915000,525,0.875000,1211,0,650,24,424,202,229,549,525,241,102,369,534,135,135,465,414
qwen3-14b / UNGUARDED,qwen3-14b,"Qwen3-14B (open, local, BF16)",UNGUARDED,M_free,-,6000,3600,3349,0.930278,36,0.010000,1905,1776,0.932283,0,0.000000,1695,1573,0.928024,36,0.021239,3349,0.930278,36,0.010000,1776,0.932283,0,0.000000,1573,0.928024,36,0.021239,3313,0.989251,0,600,0,0.000000,600,36,0.060000,36,0.060000,1175,0,0,0,0,0,580,36,525,0,0,0,595,135,0,465,36
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_constrained,-,6000,3600,2848,0.791111,2436,0.676667,1905,1220,0.640420,1145,0.601050,1695,1628,0.960472,1291,0.761652,2400,0.666667,1988,0.552222,1064,0.558530,989,0.519160,1336,0.788201,999,0.589381,412,0.144663,0,600,257,0.428333,600,549,0.915000,525,0.875000,1211,0,650,24,424,202,229,549,525,241,102,369,534,135,135,465,414
qwen3-14b / G_FEAS,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_FEAS,M_free,-,6000,3600,445,0.123611,36,0.010000,1905,73,0.038320,0,0.000000,1695,372,0.219469,36,0.021239,445,0.123611,36,0.010000,73,0.038320,0,0.000000,372,0.219469,36,0.021239,409,0.919101,0,600,0,0.000000,600,36,0.060000,36,0.060000,48,0,0,0,0,0,3,36,525,0,0,0,45,135,0,465,36
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_constrained,-,6000,3600,2188,0.607778,1800,0.500000,1905,635,0.333333,566,0.297113,1695,1553,0.916224,1234,0.728024,1749,0.485833,1361,0.378056,485,0.254593,416,0.218373,1264,0.745723,945,0.557522,388,0.177331,388,600,251,0.418333,600,519,0.865000,495,0.825000,1148,0,617,24,415,178,205,519,525,235,99,360,504,135,129,465,390
qwen3-14b / G_CERT,qwen3-14b,"Qwen3-14B (open, local, BF16)",G_CERT,M_free,-,6000,3600,421,0.116944,36,0.010000,1905,67,0.035171,0,0.000000,1695,354,0.208850,36,0.021239,421,0.116944,36,0.010000,67,0.035171,0,0.000000,354,0.208850,36,0.021239,385,0.914489,385,600,0,0.000000,600,36,0.060000,36,0.060000,48,0,0,0,0,0,3,36,525,0,0,0,45,135,0,465,36
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_constrained,-,6000,3600,2980,0.827778,2352,0.653333,1905,1300,0.682415,1102,0.578478,1695,1680,0.991150,1250,0.737463,2378,0.660556,1750,0.486111,1135,0.595801,937,0.491864,1243,0.733333,813,0.479646,628,0.210738,0,600,187,0.311667,600,568,0.946667,544,0.906667,1248,0,660,0,578,82,82,568,525,285,109,394,564,135,133,465,435
qwen3.6-27b-fp8 / UNGUARDED,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",UNGUARDED,M_free,-,6000,3600,3600,1.000000,33,0.009167,1905,1905,1.000000,0,0.000000,1695,1695,1.000000,33,0.019469,3600,1.000000,33,0.009167,1905,1.000000,0,0.000000,1695,1.000000,33,0.019469,3567,0.990833,0,600,0,0.000000,600,33,0.055000,33,0.055000,1260,0,0,0,0,0,660,33,525,0,0,0,600,135,0,465,33
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_constrained,-,6000,3600,2888,0.802222,2260,0.627778,1905,1208,0.634121,1010,0.530184,1695,1680,0.991150,1250,0.737463,2286,0.635000,1658,0.460556,1043,0.547507,845,0.443570,1243,0.733333,813,0.479646,628,0.217452,0,600,187,0.311667,600,568,0.946667,544,0.906667,1248,0,660,0,578,82,82,568,525,285,109,394,564,135,133,465,435
qwen3.6-27b-fp8 / G_FEAS,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_FEAS,M_free,-,6000,3600,642,0.178333,33,0.009167,1905,195,0.102362,0,0.000000,1695,447,0.263717,33,0.019469,642,0.178333,33,0.009167,195,0.102362,0,0.000000,447,0.263717,33,0.019469,609,0.948598,0,600,0,0.000000,600,33,0.055000,33,0.055000,57,0,0,0,0,0,0,33,525,0,0,0,57,135,0,465,33
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_constrained,-,6000,3600,2245,0.623611,1641,0.455833,1905,610,0.320210,418,0.219423,1695,1635,0.964602,1223,0.721534,1658,0.460556,1054,0.292778,457,0.239895,265,0.139108,1201,0.708555,789,0.465487,604,0.269042,604,600,184,0.306667,600,550,0.916667,526,0.876667,1212,0,642,0,563,79,79,550,525,279,103,382,546,135,127,465,423
qwen3.6-27b-fp8 / G_CERT,qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",G_CERT,M_free,-,6000,3600,621,0.172500,33,0.009167,1905,189,0.099213,0,0.000000,1695,432,0.254867,33,0.019469,621,0.172500,33,0.009167,189,0.099213,0,0.000000,432,0.254867,33,0.019469,588,0.946860,588,600,0,0.000000,600,33,0.055000,33,0.055000,57,0,0,0,0,0,0,33,525,0,0,0,57,135,0,465,33
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_constrained,-,2000,1200,949,0.790833,921,0.767500,635,435,0.685039,431,0.678740,565,514,0.909735,490,0.867257,829,0.690833,801,0.667500,384,0.604724,380,0.598425,445,0.787611,421,0.745133,28,0.029505,0,200,144,0.720000,200,182,0.910000,175,0.875000,401,0,219,40,113,66,106,182,175,76,42,126,175,45,45,155,137
glm-4-9b / UNGUARDED,glm-4-9b,"GLM-4-9B (open, local, SPOT-CHECK)",UNGUARDED,M_free,-,2000,1200,1193,0.994167,0,0.000000,635,633,0.996850,0,0.000000,565,560,0.991150,0,0.000000,1193,0.994167,0,0.000000,633,0.996850,0,0.000000,560,0.991150,0,0.000000,1193,1.000000,0,200,0,0.000000,200,0,0.000000,0,0.000000,11,404,0,0,0,0,0,0,175,0,0,0,11,45,0,155,0
