# generated 2026-08-17 18:05:45 +0800 by e3_intervals.py (l1-dg6-intervals-2)
# paired bootstrap: 20000 resamples, numpy default_rng seeded [20260814, cell index]; percentile intervals
# second interval: Newcombe (1998) method 10 for paired proportions (MOVER over two Wilson intervals with the observed phi)
# third interval: cluster bootstrap resampling whole scheduling instances
# self-check: the 18 loose-budget and 18 tight-budget 2x2 tables are rebuilt from results/e3_replay_*/verdicts.jsonl and asserted cell for cell against analysis/E8_adjudication.csv; the exact McNemar p-values, the Wilcoxon p-values, the Holm corrections and the published minima are recomputed rather than read
# the reported passthrough outcome is the V4/V6 content rule (code/scripts/passthrough_rule.py): an applied V4 or V6 row counts unless the applied operations are exactly the item's non-empty gold_ops; false_block and catch are dispositions and are unchanged; the e8_* columns of a passthrough row carry E8's earlier disposition-only reading and are not this one
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/analysis/E8_adjudication.csv sha256 38a6b4222d44e3e3d55ecf9e27864b953093da88f8e79b8cc5c5ae921dfc9eaf
# end-task quality: suite sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# end-task quality: adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# end-task quality: e3_analyze reconciliation 7533/7533 passed
# end-task quality is recomputed by e3_analyze.load_arm / evaluate_rows / build_entries (the guard re-evaluation), because wwt_original_bh is not in results/e3_replay_*/verdicts.jsonl
# margins: 5.0 pp is the primary binary margin and 10.0 bh the primary quality margin; both are set at roughly a quarter of the effect the guard itself produces on the same items at the same budget (MULTI-G vs MULTI-UG, loose): 15.6 to 24.0 pp on violation pass-through under the content rule (16.7 to 25.0 pp under E8's disposition-only reading) and 36.8 to 44.3 bh on mean per-item quality, over the five arms whose unguarded variant emits executable proposals
contrast,arm,model,budget_level,budget_tokens,outcome,outcome_scale,better_direction,unit,n_units,n_clusters,a_only,b_only,both,neither,n_discordant,rate_single_g,rate_multi_g,estimate,boot_ci95_lo,boot_ci95_hi,boot_ci90_lo,boot_ci90_hi,newcombe_ci95_lo,newcombe_ci95_hi,newcombe_ci90_lo,newcombe_ci90_hi,newcombe_phi,cluster_ci95_lo,cluster_ci95_hi,cluster_ci90_lo,cluster_ci90_hi,cluster_vs_iid_max_abs_gap,e8_effect_size,e8_p_raw,e8_p_holm_family,e8_p_holm_agent_layer,e8_direction,favours,margin_primary,tost_verdict_primary,tost_p_boot_primary,tost_p_wald_primary,verdict_margin_low,verdict_margin_mid,verdict_margin_high,min_onedir_discordant_for_sig_alpha05,min_onedir_discordant_for_sig_holm12,min_onedir_discordant_for_sig_holm96,min_onedir_discordant_for_sig_holm96realised,sig_attainable_alpha05,sig_attainable_holm12,sig_attainable_holm96,sig_attainable_holm96realised,mdes80_alpha05_bestcase,mdes80_holm12_bestcase,mdes80_holm96_bestcase,mdes80_holm96realised_bestcase,holm_realised_alpha,mdes80_alpha05_at_observed_discordance,mdes80_holm96_at_observed_discordance
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,false_block,pp,lower is better,the 96 matched benign twins,96,52,3,0,0,93,3,3.1250,0.0000,3.1250,0.0000,7.2917,1.0417,6.2500,-1.2377,8.7887,-0.1928,7.5640,0.0000,0.0000,7.0000,0.9170,6.2500,0.2917,0.0312,0.25,1,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.18325,0.145516,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,na,na
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,catch,pp,higher is better,the 96 labelled violations,96,52,29,0,0,67,29,30.2083,0.0000,30.2083,20.8333,39.5833,22.9167,37.5000,21.0806,40.0085,22.6174,38.3721,0.0000,21.3324,39.0000,22.7273,37.6344,0.5833,0.3021,3.72529e-09,4.47035e-08,3.50177e-07,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,1,1,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000657895,16.2296,23.3378
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,passthrough,pp,lower is better,the 96 labelled violations,96,52,8,0,0,88,8,8.3333,0.0000,8.3333,3.1250,14.5833,4.1667,13.5417,2.7469,15.5899,3.8292,14.1917,0.0000,2.9703,15.0538,3.5294,13.8298,0.6373,0.1979,3.8147e-06,3.8147e-05,0.000320435,SINGLE+G more often passed through,MULTI-G,5.0000,indeterminate,0.91175,0.881333,equivalence refuted,indeterminate,indeterminate,6,9,12,12,True,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,8.2166,na
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,9,,,0.7076,-0.0308,1.6820,0.0559,1.5074,,,,,,-0.0310,1.6532,0.0525,1.4809,0.0288,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,9,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,9,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,False,False,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,9,,,96.2500,,,,,,,,,,,,,,,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000657895,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,false_block,pp,lower is better,the 96 matched benign twins,96,52,3,0,0,93,3,3.1250,0.0000,3.1250,0.0000,7.2917,1.0417,6.2500,-1.2377,8.7887,-0.1928,7.5640,0.0000,0.0000,7.0707,0.9174,6.3830,0.2210,0.0312,0.25,1,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.18665,0.145516,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,na,na
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,catch,pp,higher is better,the 96 labelled violations,96,52,17,0,0,79,17,17.7083,0.0000,17.7083,10.4167,26.0417,11.4583,23.9583,10.2855,26.5410,11.5662,24.9752,0.0000,10.9091,25.2747,11.9565,24.0000,0.7669,0.1771,1.52588e-05,0.000137329,0.00126462,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.99995,0.999446,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000657895,12.2124,16.6894
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,passthrough,pp,lower is better,the 96 labelled violations,96,52,10,0,0,86,10,10.4167,0.0000,10.4167,5.2083,16.6667,5.2083,15.6250,4.3739,18.1222,5.4951,16.6742,0.0000,4.7059,17.0732,5.4348,15.9574,0.5025,0.2083,1.90735e-06,2.09808e-05,0.000164032,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,0.97735,0.958838,equivalence refuted,equivalence refuted,indeterminate,6,9,12,12,True,True,False,False,8.1107,11.6441,15.0861,15.0861,0.000657895,9.2077,na
