# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
arm,model,mode,enforcement,thinking,repeat,class,class_meaning,items,unguarded_blocked,unguarded_block_rate,gfeas_blocked,gfeas_block_rate,gcert_blocked,gcert_block_rate,gfeas_false_block_rate,gcert_false_block_rate,sep_feas_pass,sep_cert_block,sep_separated,sep_share
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",480,0,0.000000,310,0.645833,320,0.666667,0.002500,0.043750,170,320,10,0.020833
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",600,0,0.000000,372,0.620000,392,0.653333,0.002500,0.043750,228,392,20,0.033333
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V3,quality (feasible but provably poor sequencing),660,0,0.000000,3,0.004545,546,0.827273,0.002500,0.043750,657,546,543,0.822727
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",660,0,0.000000,7,0.010606,40,0.060606,0.002500,0.043750,653,40,33,0.050000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),600,0,0.000000,18,0.030000,42,0.070000,0.002500,0.043750,582,42,24,0.040000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,V6,instruction-embedded injection,600,0,0.000000,42,0.070000,72,0.120000,0.002500,0.043750,558,72,30,0.050000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_constrained,xgrammar,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,2400,0,0.000000,6,0.002500,105,0.043750,0.002500,0.043750,2394,105,99,0.041250
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",480,0,0.000000,437,0.910417,440,0.916667,0.992917,0.992917,43,440,3,0.006250
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",600,0,0.000000,570,0.950000,573,0.955000,0.992917,0.992917,30,573,3,0.005000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V3,quality (feasible but provably poor sequencing),660,0,0.000000,660,1.000000,660,1.000000,0.992917,0.992917,0,660,0,0.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",660,0,0.000000,657,0.995455,657,0.995455,0.992917,0.992917,3,657,0,0.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),600,0,0.000000,276,0.460000,294,0.490000,0.992917,0.992917,324,294,18,0.030000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,V6,instruction-embedded injection,600,0,0.000000,555,0.925000,555,0.925000,0.992917,0.992917,45,555,0,0.000000
qwen3-14b,"Qwen3-14B (open, local, BF16)",M_free,none,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,2400,0,0.000000,2383,0.992917,2383,0.992917,0.992917,0.992917,17,2383,0,0.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",480,0,0.000000,330,0.687500,333,0.693750,0.028750,0.055000,150,333,3,0.006250
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",600,0,0.000000,364,0.606667,373,0.621667,0.028750,0.055000,236,373,9,0.015000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V3,quality (feasible but provably poor sequencing),660,0,0.000000,3,0.004545,577,0.874242,0.028750,0.055000,657,577,574,0.869697
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",660,0,0.000000,0,0.000000,18,0.027273,0.028750,0.055000,660,18,18,0.027273
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),600,0,0.000000,3,0.005000,24,0.040000,0.028750,0.055000,597,24,21,0.035000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,V6,instruction-embedded injection,600,0,0.000000,12,0.020000,30,0.050000,0.028750,0.055000,588,30,18,0.030000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained,xgrammar,-,pooled,benign,valid and unambiguous; the matched twins that price a false block,2400,0,0.000000,69,0.028750,132,0.055000,0.028750,0.055000,2331,132,63,0.026250
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V1,"schema (malformed, unknown operation, dangling id, out-of-range argument)",480,0,0.000000,390,0.812500,393,0.818750,1.000000,1.000000,90,393,3,0.006250
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V2,"feasibility (precedence cycle, trade mismatch, frozen-order edit)",600,0,0.000000,495,0.825000,498,0.830000,1.000000,1.000000,105,498,3,0.005000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V3,quality (feasible but provably poor sequencing),660,0,0.000000,660,1.000000,660,1.000000,1.000000,1.000000,0,660,0,0.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V4,"semantic mistranslation (feasible, but not what was asked)",660,0,0.000000,660,1.000000,660,1.000000,1.000000,1.000000,0,660,0,0.000000
qwen3.6-27b-fp8,"Qwen3.6-27B-FP8 (open, local, quantized)",M_free,none,-,pooled,V5,ambiguity or overreach (the correct behaviour is refusal),600,0,0.000000,210,0.350000,225,0.375000,1.000000,1.000000,390,225,15,0.025000
