# generated 2026-08-16 14:29:05 +0800 by code/scripts/falseblock_decompose.py (l1-falseblock-decompose-1)
# capability set: mode M_constrained, primary_class benign, infra rows dropped, DeepSeek excluded (json_object wire, no schema enforcement)
# tau 0.2 (provisional), LB floor 1.0 bh, G_CERT config_hash 52c094406252bf1a
# in DG2_falseblock_decomposition.csv the anchor/replay columns are blank on an arm with more than one thinking cell (opus) and carried on that arm's arm_pooled row instead, so no reader can double count them
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# analysis/T3_guard_value_curve.csv sha256 f5df92e8a6638869c8f9cc56270d0d4a4d48c910c9fedb60889817b9a4c694ca
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# results/tier1_slice/rows.jsonl sha256 b43875f5c938c9d2e814a76d088bde22ba6655e88fbead88a3e2c5d38b255093
scope,tier,arm,thinking,repeats,benign_rows,false_blocks,false_block_rate,blocked_schema,blocked_feas,blocked_qual,qual_share_of_benign_rows,qual_pp_per_800_twins,qual_anchor_above_tau,qual_obj_no_worse_than_anchor,qual_obj_equals_anchor,qual_rescued_1s,qual_rescued_5s,qual_instance_infeasible_at_tau,qual_bound_attributable,qual_proposal_attributable
capability,1,qwen3-14b,-,3,2400,105,0.043750,0,6,99,0.041250,4.1250,66,63,54,0,0,66,0,33
capability,2,qwen3.6-27b-fp8,-,3,2400,132,0.055000,0,69,63,0.026250,2.6250,63,63,51,0,0,63,0,0
capability,3,glm-4-9b,-,1,800,64,0.080000,7,36,21,0.026250,2.6250,20,19,17,0,0,20,0,1
capability,4,openai,-,2,1600,62,0.038750,3,17,42,0.026250,2.6250,42,42,34,0,0,42,0,0
excluded_json_object,5,deepseek,non_think,2,1600,1555,0.971875,1553,0,2,0.001250,0.1250,,,,,,,,
excluded_json_object,5,deepseek,think_high,2,1600,1591,0.994375,1591,0,0,0.000000,0.0000,,,,,,,,
capability,6,sonnet,disabled,2,1600,61,0.038125,0,19,42,0.026250,2.6250,42,42,34,0,0,42,0,0
capability,7,opus,default,2,1600,63,0.039375,0,21,42,0.026250,2.6250,,,,,,,,
capability,7,opus,disabled,2,1600,80,0.050000,0,38,42,0.026250,2.6250,,,,,,,,
capability,8,sol,none,1,800,69,0.086250,21,27,21,0.026250,2.6250,21,21,17,0,0,21,0,0
excluded_json_object_pooled,5,deepseek,all,4,3200,3146,0.983125,3144,0,2,0.000625,0.0625,,,,,,,,
arm_pooled,7,opus,all,4,3200,143,0.044687,0,59,84,0.026250,2.6250,84,84,68,0,0,84,0,0
capability_pooled,,ALL,-,16,12800,636,0.049688,31,233,372,0.029063,2.9062,338,334,275,0,0,338,0,34
