# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
register,arm,model,budget_level,budget_tokens,repeat_scope,in_primary_family,contrast,system_a,system_b,test,unit,n_units,a_only,b_only,both,neither,n_zero_diff,statistic,effect_size,effect_size_kind,direction,median_diff,median_diff_nonzero,mean_diff,p_raw,p_method,holm_family,holm_m_family,p_holm_family,holm_m_agent_layer,p_holm_agent_layer
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,8,0,0,32,,0.0,0.200000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,0.0078125,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,0.0625,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,7,0,0,33,,0.0,0.175000,risk difference (a minus b),SINGLE+G more often passed through,,,,0.015625,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,0.171875,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,2,0,,,96,0.0,1.000000,rank-biserial,"MULTI-G lower weighted tardiness on the 2 differing item(s) (0 lower for SINGLE+G, 2 lower for MULTI-G)",0.0000,29.3154,0.5983,0.5,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_catch,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_catch,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_violation_passthrough,the 96 labelled violations,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_violation_passthrough,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,wilcoxon_quality,all 240 items,98,0,0,,,98,,,rank-biserial,identical weighted tardiness on every item,0.0000,,0.0000,1,no non-zero differences,formal | MULTI-G vs MULTI-UG | wilcoxon_quality,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | SINGLE+G vs MULTI-G | mcnemar_false_block,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_catch,the 96 labelled violations,40,1,0,1,38,,0.0,0.025000,risk difference (a minus b),SINGLE+G more often blocked correct,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_catch,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,mcnemar_violation_passthrough,the 96 labelled violations,40,0,1,15,24,,0.0,-0.025000,risk difference (a minus b),MULTI-G more often passed through,,,,1,exact binomial,formal | SINGLE+G vs MULTI-G | mcnemar_violation_passthrough,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,SINGLE+G vs MULTI-G,SINGLE+G,MULTI-G,wilcoxon_quality,all 240 items,98,2,2,,,94,4.0,0.200000,rank-biserial,"MULTI-G lower weighted tardiness on the 4 differing item(s) (2 lower for SINGLE+G, 2 lower for MULTI-G)",0.0000,5.1170,0.2213,0.875,exact sign-flip (n<=100),formal | SINGLE+G vs MULTI-G | wilcoxon_quality,12,1,,
formal,qwen14b,"Qwen3-14B (open, local, BF16)",loose,18000,r0,False,MULTI-G vs MULTI-UG,MULTI-G,MULTI-UG,mcnemar_false_block,the 96 matched benign twins,40,0,0,0,40,,,0.000000,risk difference (a minus b),no difference (0 = 0),,,,1,exact (no discordant pairs),formal | MULTI-G vs MULTI-UG | mcnemar_false_block,12,1,,
