# generated 2026-08-16 14:29:05 +0800 by code/scripts/falseblock_decompose.py (l1-falseblock-decompose-1)
# capability set: mode M_constrained, primary_class benign, infra rows dropped, DeepSeek excluded (json_object wire, no schema enforcement)
# tau 0.2 (provisional), LB floor 1.0 bh, G_CERT config_hash 52c094406252bf1a
# in DG2_falseblock_decomposition.csv the anchor/replay columns are blank on an arm with more than one thinking cell (opus) and carried on that arm's arm_pooled row instead, so no reader can double count them
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# analysis/T3_guard_value_curve.csv sha256 f5df92e8a6638869c8f9cc56270d0d4a4d48c910c9fedb60889817b9a4c694ca
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# results/tier1_slice/rows.jsonl sha256 b43875f5c938c9d2e814a76d088bde22ba6655e88fbead88a3e2c5d38b255093
input_digest,instance_id,item_id,stratum,subclass,arms,n_member_rows,accepted_gap,t2_obj_bh,t2_lb_bh,anchor_gap,anchor_wwt_bh,anchor_above_tau,obj_no_worse_than_anchor,budget_s,lb_tier1_bh,lb_best_bh,gap_best,terminal_best,rescued,tier1_status,tier1_vacuous,delta_rel,lb_required_bh,required_tighten_rel_vs_best,solve_wall_s
e7b0bce56543f0f3,c09_storm2_w80_u100_0001,BEN-0030,c09_storm2_w80,dangling_order_id,qwen3-14b,3,0.347570,874.637200,649.047600,0.055963,685.370000,0,0,1.0,0.000000,649.047600,0.347570,blocked_qual,0,UNKNOWN,1,-1.000000000,728.864333,0.122975161,1.765
e7b0bce56543f0f3,c09_storm2_w80_u100_0001,BEN-0030,c09_storm2_w80,dangling_order_id,qwen3-14b,3,0.347570,874.637200,649.047600,0.055963,685.370000,0,0,5.0,649.800000,649.800000,0.346010,blocked_qual,0,FEASIBLE,0,0.001159237,728.864333,0.121674874,5.825
0bd9f02ced1074de,c09_storm2_w80_u100_0004,BEN-0691,c09_storm2_w80,objective_shifting,qwen3-14b,2,1.207758,1144.612800,518.450400,0.106119,573.468000,0,0,1.0,0.000000,518.450400,1.207758,blocked_qual,0,UNKNOWN,1,-1.000000000,953.844000,0.839797983,1.815
0bd9f02ced1074de,c09_storm2_w80_u100_0004,BEN-0691,c09_storm2_w80,objective_shifting,qwen3-14b,2,1.207758,1144.612800,518.450400,0.106119,573.468000,0,0,5.0,518.960000,518.960000,1.205590,blocked_qual,0,FEASIBLE,0,0.000982929,953.844000,0.837991367,5.894
21f6649c474910fe,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,qwen3-14b,3,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,1.0,0.000000,860.402000,0.226611,blocked_qual,0,UNKNOWN,1,-1.000000000,879.482000,0.022175681,1.775
21f6649c474910fe,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,qwen3-14b,3,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,5.0,861.440000,861.440000,0.225133,blocked_qual,0,FEASIBLE,0,0.001206413,879.482000,0.020944001,5.859
2b620442bae70c42,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,glm-4-9b,1,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,1.0,0.000000,860.402000,0.226611,blocked_qual,0,UNKNOWN,1,-1.000000000,879.482000,0.022175681,1.768
2b620442bae70c42,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,glm-4-9b,1,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,5.0,861.440000,861.440000,0.225133,blocked_qual,0,FEASIBLE,0,0.001206413,879.482000,0.020944001,5.867
b36bdd1a9bf53ce5,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,qwen3.6-27b-fp8,3,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,1.0,0.000000,860.402000,0.226611,blocked_qual,0,UNKNOWN,1,-1.000000000,879.482000,0.022175681,1.780
b36bdd1a9bf53ce5,c09_storm2_w80_u100_0008,BEN-0077,c09_storm2_w80,out_of_range_shift,qwen3.6-27b-fp8,3,0.226611,1055.378400,860.402000,0.226611,1055.378400,1,1,5.0,861.440000,861.440000,0.225133,blocked_qual,0,FEASIBLE,0,0.001206413,879.482000,0.020944001,5.862
