# generated 2026-08-14 18:49:54 +0800 by e3_intervals.py (l1-dg6-intervals-1)
# paired bootstrap: 20000 resamples, numpy default_rng seeded [20260814, cell index]; percentile intervals
# second interval: Newcombe (1998) method 10 for paired proportions (MOVER over two Wilson intervals with the observed phi)
# third interval: cluster bootstrap resampling whole scheduling instances
# self-check: the 18 loose-budget and 18 tight-budget 2x2 tables are rebuilt from results/e3_replay_*/verdicts.jsonl and asserted cell for cell against analysis/E8_adjudication.csv; the exact McNemar p-values, the Wilcoxon p-values, the Holm corrections and the published minima are recomputed rather than read
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 68d598fcab8bb6aff9bd83e73f4548df1bc7bef426a07bd1f048de59ffc2f37f
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 73aa56d7e1e552278b0561b3fa26a7b10e0407a9e9ec6e0de3ea880e0517ad77
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 2009fa24a47dc0efe3afc2ed38edd039eb0b8b43b675337ae5acd718e0139028
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 dcab33a1e04f1d7116ae5cf7c751aeaf5d5a5523ca023042926057b56b2fc61f
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8d7487aa2976b619ee9a019f2259b84b03d8937f48b559d0aee21d761ed4ee96
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 f0d25bb6a6c3ea1c797525473724344e06f04fdb59c5fbbb738aa95c4627eb19
# /home/ziheng/PaperL1/analysis/E8_adjudication.csv sha256 be62fba9aa805e786cf6048ab5d15e937ef22b9b2087d7f810d75a1fe65554e0
# end-task quality: suite sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# end-task quality: adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# end-task quality: e3_analyze reconciliation 7533/7533 passed
# end-task quality is recomputed by e3_analyze.load_arm / evaluate_rows / build_entries (the guard re-evaluation), because wwt_original_bh is not in results/e3_replay_*/verdicts.jsonl
# margins: 5.0 pp is the primary binary margin and 10.0 bh the primary quality margin; both are set at roughly a quarter of the effect the guard itself produces on the same items at the same budget (MULTI-G vs MULTI-UG, loose): 17.7 to 25.0 pp on violation pass-through and 36.8 to 44.3 bh on mean per-item quality, over the five arms whose unguarded variant emits executable proposals
contrast,arm,model,budget_level,budget_tokens,outcome,outcome_scale,better_direction,unit,n_units,n_clusters,a_only,b_only,both,neither,n_discordant,rate_single_g,rate_multi_g,estimate,boot_ci95_lo,boot_ci95_hi,boot_ci90_lo,boot_ci90_hi,newcombe_ci95_lo,newcombe_ci95_hi,newcombe_ci90_lo,newcombe_ci90_hi,newcombe_phi,cluster_ci95_lo,cluster_ci95_hi,cluster_ci90_lo,cluster_ci90_hi,cluster_vs_iid_max_abs_gap,e8_effect_size,e8_p_raw,e8_p_holm_family,e8_p_holm_agent_layer,e8_direction,favours,margin_primary,tost_verdict_primary,tost_p_boot_primary,tost_p_wald_primary,verdict_margin_low,verdict_margin_mid,verdict_margin_high,min_onedir_discordant_for_sig_alpha05,min_onedir_discordant_for_sig_holm12,min_onedir_discordant_for_sig_holm96,min_onedir_discordant_for_sig_holm96realised,sig_attainable_alpha05,sig_attainable_holm12,sig_attainable_holm96,sig_attainable_holm96realised,mdes80_alpha05_bestcase,mdes80_holm12_bestcase,mdes80_holm96_bestcase,mdes80_holm96realised_bestcase,holm_realised_alpha,mdes80_alpha05_at_observed_discordance,mdes80_holm96_at_observed_discordance
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,false_block,pp,lower is better,the 96 matched benign twins,96,52,5,0,0,91,5,5.2083,0.0000,5.2083,1.0417,10.4167,2.0833,9.3750,0.3519,11.6185,1.3955,10.3142,0.0000,1.1111,10.0000,2.0000,9.0909,0.4167,0.0521,0.0625,0.6875,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.5639,0.536598,indeterminate,indeterminate,indeterminate,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,catch,pp,higher is better,the 96 labelled violations,96,52,30,0,0,66,30,31.2500,0.0000,31.2500,21.8750,40.6250,23.9583,39.5833,22.0116,41.0919,23.5672,39.4551,0.0000,22.4719,40.0000,23.8636,38.6364,0.9470,0.3125,1.86265e-09,2.23517e-08,1.76951e-07,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,1,1,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,16.5109,23.8008
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,passthrough,pp,lower is better,the 96 labelled violations,96,52,18,0,0,78,18,18.7500,0.0000,18.7500,11.4583,27.0833,12.5000,25.0000,11.1557,27.7023,12.4594,26.1251,0.0000,11.0000,27.0588,12.1212,25.5814,0.5814,0.1875,7.62939e-06,6.86646e-05,0.00062561,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,1,0.999721,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,12.5784,17.3158
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_mean_bh,bh,lower is better,all 240 items (mean per-item paired difference in weighted business hours),240,55,,,,,9,,,0.7076,-0.0308,1.6820,0.0559,1.5074,,,,,,-0.0310,1.6532,0.0525,1.4809,0.0288,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",MULTI-G,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_median_bh,bh,lower is better,all 240 items (median per-item paired difference over all 240 items),240,55,,,,,9,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",neither,10.0000,equivalence established,0,,equivalence established,equivalence established,equivalence established,6,9,12,12,True,True,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_pseudomedian_bh,bh,lower is better,all 240 items (Hodges-Lehmann pseudomedian of the paired differences),240,55,,,,,9,,,0.0000,na,na,na,na,,,,,,na,na,na,na,na,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",neither,10.0000,indeterminate,na,,indeterminate,indeterminate,indeterminate,6,9,12,12,True,True,False,False,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen14b,"Qwen3-14B (open, local, BF16)",tight,4500,quality_identical_share,%,descriptive,all 240 items; share with an identical end-task objective,240,55,,,,,9,,,96.2500,,,,,,,,,,,,,,,0.4667,0.238281,1,1,"MULTI-G lower weighted tardiness on the 9 differing item(s) (4 lower for SINGLE+G, 5 lower for MULTI-G)",,,,,,,,,6,9,12,12,,,,,,,,,0.000666667,,
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,false_block,pp,lower is better,the 96 matched benign twins,96,52,3,0,0,93,3,3.1250,0.0000,3.1250,0.0000,7.2917,1.0417,6.2500,-1.2377,8.7887,-0.1928,7.5640,0.0000,0.0000,7.0707,0.9174,6.3830,0.2210,0.0312,0.25,1,1,SINGLE+G more often blocked false,MULTI-G,5.0000,indeterminate,0.18665,0.145516,indeterminate,indeterminate,equivalence established,6,9,12,12,False,False,False,False,8.1107,11.6441,15.0861,15.0861,0.000666667,na,na
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,catch,pp,higher is better,the 96 labelled violations,96,52,17,0,0,79,17,17.7083,0.0000,17.7083,10.4167,26.0417,11.4583,23.9583,10.2855,26.5410,11.5662,24.9752,0.0000,10.9091,25.2747,11.9565,24.0000,0.7669,0.1771,1.52588e-05,0.00012207,0.00123596,SINGLE+G more often blocked correct,SINGLE+G,5.0000,equivalence refuted,0.99995,0.999446,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,12.2124,16.6894
SINGLE+G vs MULTI-G,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",tight,3500,passthrough,pp,lower is better,the 96 labelled violations,96,52,20,0,0,76,20,20.8333,0.0000,20.8333,12.5000,29.1667,14.5833,28.1250,12.9134,30.0002,14.2627,28.4038,0.0000,13.0435,29.0000,14.2857,27.5510,0.5740,0.2083,1.90735e-06,2.09808e-05,0.000164032,SINGLE+G more often passed through,MULTI-G,5.0000,equivalence refuted,1,0.999933,equivalence refuted,equivalence refuted,equivalence refuted,6,9,12,12,True,True,True,True,8.1107,11.6441,15.0861,15.0861,0.000666667,13.3018,18.5259
