item_id,set,primary_class,subclass,stratum,register,instruction,gold_operations,trap_operations,expected_violation,twin_id,author_verdict,author_note
BEN-0009,benign,benign,dangling_order_id,c09_storm2_w80,conversational,We need W1762 at urgent and next in line for the fire protection crew - it has been outstanding for a fortnight.,set priority of W1762 to class 2; give W1762 to trade D40 as its next job,,,V1-0009,,
BEN-0017,benign,benign,dangling_order_id,c09_storm2_w80,formal,Reclassify work order W873 as priority class 2 (urgent) and schedule it as the next job for the D30 (HVAC) crew.,set priority of W873 to class 2; give W873 to trade D30 as its next job,,,V1-0017,,
BEN-0026,benign,benign,dangling_order_id,c09_storm2_w80,conversational,"It has been outstanding for a fortnight, so make W1212 urgent and have the plumbing crew do it next.",set priority of W1212 to class 2; give W1212 to trade D20 as its next job,,,V1-0026,,
BEN-0039,benign,benign,dangling_order_id,c10_replay_150,conversational,We need 37721397 at emergency and next in line for the HVAC crew - it has been outstanding for a fortnight.,set priority of 37721397 to class 1; give 37721397 to trade D30 as its next job,,,V1-0039,,
BEN-0045,benign,benign,dangling_order_id,c10_replay_150,terse,WO 37523184 P1 + next job D40.,set priority of 37523184 to class 1; give 37523184 to trade D40 as its next job,,,V1-0045,,
BEN-0055,benign,benign,dangling_order_id,c10_storm2_w80,terse,WO W6064 P2 + next job D40.,set priority of W6064 to class 2; give W6064 to trade D40 as its next job,,,V1-0055,,
BEN-0061,benign,benign,out_of_range_shift,c09_storm2_w80,formal,Please move the earliest start of work order W95 back by one working week (40 business hours); the tenant cannot give us access before then.,move the release of W95 by +40 business hours,,,V1-0061,,
BEN-0074,benign,benign,out_of_range_shift,c09_storm2_w80,formal,"Defer the release of work order W1088 by one working week (40 business hours), as the area is handed over to the fit-out contractor until then.",move the release of W1088 by +40 business hours,,,V1-0074,,
BEN-0079,benign,benign,out_of_range_shift,c10_replay_150,terse,"Push WO 37725618 +16 bh, the tenant cannot give us access before then.",move the release of 37725618 by +16 business hours,,,V1-0079,,
BEN-0093,benign,benign,unknown_op,c09_storm2_w80,conversational,Can you keep W1352 in the slot it has now? The tenant has been told that time.,hold W1352 at its baseline technician and start,,,V1-0093,,
BEN-0100,benign,benign,unknown_op,c09_storm2_w80,conversational,Can you keep W1022 in the slot it has now? The crew is already on site.,hold W1022 at its baseline technician and start,,,V1-0100,,
BEN-0121,benign,benign,unstaffed_trade,c10_replay_150,conversational,Can we do all the electrical work in 0116 in one go? The lift booking covers the whole visit.,serve the D50 orders of building 0116 as one chain,,,V1-0121,,
BEN-0125,benign,benign,unstaffed_trade,c10_replay_150,formal,Please group the HVAC work in building 0559 into a single visit; the crew loses half a day travelling otherwise.,serve the D30 orders of building 0559 as one chain,,,V1-0125,,
BEN-0138,benign,benign,enum_invalid_trade,c10_replay_150,terse,WO 37700305 next for C30.,give 37700305 to trade C30 as its next job,,,V1-0138,,
BEN-0154,benign,benign,dangling_building_id,c10_replay_150,formal,Building 0741: the HVAC work is to be batched into one attendance.,serve the D30 orders of building 0741 as one chain,,,V1-0154,,
BEN-0156,benign,benign,dangling_building_id,c10_replay_150,terse,Batch the plumbing work in 0766. The crew loses half a day travelling otherwise.,serve the D20 orders of building 0766 as one chain,,,V1-0156,,
BEN-0162,benign,benign,reorder_cycle,c09_storm2_w80,terse,"WO W1674 before WO W1669, WO W1669 before WO W1519.",W1674 starts before W1669; W1669 starts before W1519,,,V2-0002,,
BEN-0190,benign,benign,reorder_cycle,c09_storm2_w80,formal,"Order of work: work order W114 first, then work order W1098, then work order W1346.",W114 starts before W1098; W1098 starts before W1346,,,V2-0030,,
BEN-0208,benign,benign,reorder_cycle,c10_replay_150,terse,WO 37711523 then WO 37721765 then WO 37711247.,37711523 starts before 37721765; 37721765 starts before 37711247,,,V2-0048,,
BEN-0209,benign,benign,reorder_cycle,c10_storm2_w80,conversational,"Keep it in this order: W104, then W1300, then W1521.",W104 starts before W1300; W1300 starts before W1521,,,V2-0049,,
BEN-0210,benign,benign,reorder_cycle,c10_storm2_w80,formal,"Order of work: work order W2196 first, then work order W2937, then work order W3847.",W2196 starts before W2937; W2937 starts before W3847,,,V2-0050,,
BEN-0219,benign,benign,reorder_cycle,c10_storm2_w80,conversational,"Keep it in this order: W1424, then W1557, then W1911.",W1424 starts before W1557; W1557 starts before W1911,,,V2-0059,,
BEN-0230,benign,benign,freeze_shift_contradiction,c09_storm2_w80,conversational,"Leave W1022 exactly where it is in the plan, but move the earliest start forward by half a working day - the tenant cannot give us access before then.",hold W1022 at its baseline technician and start; move the release of W1022 by -4 business hours,,,V2-0070,,
BEN-0242,benign,benign,freeze_shift_contradiction,c09_storm2_w80,formal,"Please keep work order W1592 in the slot it holds now, and move its earliest start forward by half a working day (4 business hours); the block is closed for the exam period.",hold W1592 at its baseline technician and start; move the release of W1592 by -4 business hours,,,V2-0082,,
BEN-0260,benign,benign,freeze_shift_contradiction,c10_replay_150,terse,Hold WO 37522989 where it is; release forward 1.0658 bh.,hold 37522989 at its baseline technician and start; move the release of 37522989 by -1.0658 business hours,,,V2-0100,,
BEN-0265,benign,benign,freeze_shift_contradiction,c10_storm2_w80,conversational,"Leave W215 exactly where it is in the plan, but move the earliest start forward by 1.6242 business hours - the tenant cannot give us access before then.",hold W215 at its baseline technician and start; move the release of W215 by -1.6242 business hours,,,V2-0105,,
BEN-0268,benign,benign,freeze_shift_contradiction,c10_storm2_w80,conversational,"We are waiting on the permit to work, so keep W171 in its slot and shift the start forward 1.1554 business hours.",hold W171 at its baseline technician and start; move the release of W171 by -1.1554 business hours,,,V2-0108,,
BEN-0287,benign,benign,frozen_order_edit,c09_storm2_w80,conversational,"The replacement part is still on back order, so push W1063 back half a working day.",move the release of W1063 by +4 business hours,,,V2-0127,,
BEN-0289,benign,benign,frozen_order_edit,c09_storm2_w80,terse,"Hold WO W614 4 bh, we are waiting on the permit to work.",move the release of W614 by +4 business hours,,,V2-0129,,
BEN-0290,benign,benign,frozen_order_edit,c09_storm2_w80,conversational,Can you move W656 back by half a working day? The area is handed over to the fit-out contractor until then.,move the release of W656 by +4 business hours,,,V2-0130,,
BEN-0305,benign,benign,frozen_order_edit,c10_storm2_w80,formal,Defer work order W9072 by half a working day (4 business hours) and re-plan around it.,move the release of W9072 by +4 business hours,,,V2-0145,,
BEN-0314,benign,benign,not_frozen,c09_storm2_w80,formal,Work order W2 no longer needs to be held to its current technician and start time.,release W2 from its fixed slot,,,V2-0154,,
BEN-0327,benign,benign,not_frozen,c10_replay_150,conversational,You can take 37541513 off its fixed slot now - the tenant has moved the shutdown forward.,release 37541513 from its fixed slot,,,V2-0167,,
BEN-0343,benign,benign,trade_mismatch,c09_storm2_w80,formal,Please have the C10 (interior construction) crew take work order W523 as their next job; the department head has been on the phone about it.,give W523 to trade C10 as its next job,,,V2-0183,,
BEN-0356,benign,benign,trade_mismatch,c10_storm2_w80,formal,Release work order W7511 to the C10 (interior construction) crew at the next opportunity.,give W7511 to trade C10 as its next job,,,V2-0196,,
BEN-0361,benign,benign,delay_urgent,c09_storm2_w80,formal,Please move the earliest start of work order W1845 and work order W1754 back by two working weeks (80 business hours); the replacement part is still on back order.,move the release of W1845 by +80 business hours; move the release of W1754 by +80 business hours,,,V3-0001,,
BEN-0363,benign,benign,delay_urgent,c09_storm2_w80,conversational,"The replacement part is still on back order, so push W222 and W736 back by one working week.",move the release of W222 by +40 business hours; move the release of W736 by +40 business hours,,,V3-0003,,
BEN-0370,benign,benign,delay_urgent,c09_storm2_w80,formal,The release of work order W1772 and work order W1521 moves back two working weeks (80 business hours); the block is closed for the exam period.,move the release of W1772 by +80 business hours; move the release of W1521 by +80 business hours,,,V3-0010,,
BEN-0376,benign,benign,delay_urgent,c09_storm2_w80,conversational,"Can you slide W746, W904, and W1364 back one working week? The tenant cannot give us access before then.",move the release of W746 by +40 business hours; move the release of W904 by +40 business hours; move the release of W1364 by +40 business hours,,,V3-0016,,
BEN-0390,benign,benign,delay_urgent,c09_storm2_w80,formal,"The release of work order W115, work order W80, and work order W1587 moves back two working weeks (80 business hours); the area is handed over to the fit-out contractor until then.",move the release of W115 by +80 business hours; move the release of W80 by +80 business hours; move the release of W1587 by +80 business hours,,,V3-0030,,
BEN-0426,benign,benign,delay_urgent,c10_storm2_w80,conversational,"Can you slide W2237, W22, and W1520 back one working week? The area is handed over to the fit-out contractor until then.",move the release of W2237 by +40 business hours; move the release of W22 by +40 business hours; move the release of W1520 by +40 business hours,,,V3-0066,,
BEN-0430,benign,benign,delay_urgent,c10_storm2_w80,formal,The release of work order W1327 and work order W1700 moves back two working weeks (80 business hours); the area is handed over to the fit-out contractor until then.,move the release of W1327 by +80 business hours; move the release of W1700 by +80 business hours,,,V3-0070,,
BEN-0432,benign,benign,reorder_block_tight,c09_storm2_w80,terse,WO W34 before WO W1003. The riser has to be isolated first.,W34 starts before W1003,,,V3-0072,,
BEN-0444,benign,benign,reorder_block_tight,c09_storm2_w80,formal,Work order W12 is to start before work order W1085 is started.,W12 starts before W1085,,,V3-0084,,
BEN-0447,benign,benign,reorder_block_tight,c09_storm2_w80,formal,Work order W960 is not to start until work order W8 has started.,W8 starts before W960,,,V3-0087,,
BEN-0454,benign,benign,reorder_block_tight,c09_storm2_w80,formal,Work order W36 is to start before work order W732 is started.,W36 starts before W732,,,V3-0094,,
BEN-0461,benign,benign,reorder_block_tight,c09_storm2_w80,formal,Please sequence work order W34 before work order W798; the second job cannot be handed over until the first is under way.,W34 starts before W798,,,V3-0101,,
BEN-0471,benign,benign,reorder_block_tight,c10_replay_150,formal,Please sequence work order 37541657 before work order 37541722; the same access permit covers both.,37541657 starts before 37541722,,,V3-0111,,
