# generated by code/scripts/tau_cost_rule.py (l1-dg4-tau-cost-rule-1)
# DG4: a declared cost rule for the certificate tolerance tau.
# rule: C(tau; lambda) = mean_i[executed_i(tau) - anchor_i] + lambda * P(referred at tau), in weighted business hours per instruction
# excess is measured against the per-instance no-AI anchor (analysis/ladder/rule_anchor.csv, wwt_bh)
# executed objective is verdict.objective.wwt_original_bh from results/e1_eval_*/proposals.jsonl (the FIXED yardstick: l1guard/guard.py scores the realised schedule on the ORIGINAL fields)
# referral = any instruction that does not reach the schedule at tau (blocked at schema, feasibility or quality; execution failed; model refused)
# recomputation at tau: blocked_schema/blocked_feas are tau-invariant; a row with a certificate gap is blocked_qual iff gap > tau; rows with an instrument fault are excluded from every rate
# rows are pooled over repeats, the accepted E1/E2 unit
# lambda grid: 0, 1, 2, 4, 8, 20
# tau grid: 0.02, 0.05, 0.10, 0.15, 0.20, 0.30, 0.50, 1.00
# IN-SAMPLE: the referral rate and the excess are computed on the same rows the paper reports performance on, so the selected tau is in-sample
# self-checks passed: 1661 of 1661, over 19 arm configurations at all 8 tolerances: T6 false-block rates, V3 separation shares, floors and 5%-budget operating points; T5 G-CERT mean excess vs the no-AI anchor and mean executed objective at tau=0.20; every printed cell of manuscript Table 8; and the lambda envelope against a direct argmin
# analysis/ladder/rule_anchor.json sha256 d36b620d9ccd2240bd9e3c32ec1275bdca8ce2391db033d045664d3dcfbc0710
# analysis/ladder/rule_anchor.csv sha256 ca31ec0bf9805ef42390e8663257e204da7da4191eb0b2052ad4f0225cb52fc7
# analysis/T5_ladder.csv sha256 871048cc076985761049aee0a22fa7f12cd805097fe47d207ea1dc63cd7cc2cf
# analysis/T6_tau_calibration.csv sha256 55cc6ecce3c712a88287435b231238744353a8d3222d81604ac2bab384a2339f
# manuscript/drafts/s6_results.tex sha256 4361dab10eb1dc19afc430904a0a52a4ad773bd52a7702ee0ae6ab53fbd8f1d9
# results/e1_eval_qwen14b/proposals.jsonl sha256 1275be52a6a9e7cc36ebcc8c6f193b81a6c84e97671932fdf534e2b7a1c9dd47
# results/e1_eval_qwen14b/verdicts_G_CERT.jsonl sha256 007f9b7e128b9b40a1c8a6f20e1d7bf0688e7597c9ccf802b3d4603e11d5ff82
# results/e1_eval_qwen14b/verdicts_G_FEAS.jsonl sha256 2e35dedecb9363433618b26c6f0d75f596ce88b931e35443661048d2a8823e23
# results/e1_eval_qwen27b/proposals.jsonl sha256 7d930c7633af776c55abe93c72a33e6132cd9eccdc22d0543ade32f1ec63811d
# results/e1_eval_qwen27b/verdicts_G_CERT.jsonl sha256 34f6a4c8b2b26b38a69a21c1a22d0d0ee7715b2d15a095399aa505c279377d10
# results/e1_eval_qwen27b/verdicts_G_FEAS.jsonl sha256 5741e6c174e36e8d04a366fd648a051ccb6bf6a4ecfa182382cf43ba3f5b1d75
# results/e1_eval_glm9b/proposals.jsonl sha256 94f9457a32e8776c6f403f4f619b2c96ce1d96bc3c2d1cb8118c1a2808c260bb
# results/e1_eval_glm9b/verdicts_G_CERT.jsonl sha256 357ff6582097bd5c6656c14e6c47a6c85b5cb2c699e2206d1f8722ff1f0e6ed4
# results/e1_eval_glm9b/verdicts_G_FEAS.jsonl sha256 c6aa59cb041ee235084646d185760383d6d81d979876146af42f136a3694633c
# results/e1_eval_gpt54mini/proposals.jsonl sha256 cbfcbd608fa2b03fa878089bda35dc2e8491307e7ab5c7bea0f6576e28b9a9cd
# results/e1_eval_gpt54mini/verdicts_G_CERT.jsonl sha256 ab58fe9be34e97572208247ee13fbf9710af6b14f5b0004390faeb4031f1a78d
# results/e1_eval_gpt54mini/verdicts_G_FEAS.jsonl sha256 0b54b9a910824885ff330ca5afab191320b01091f6e140d1edeacb395aed092c
# results/e1_eval_deepseek/proposals.jsonl sha256 1e6cef4120af866d8b02898d9b2dc46b457c4b5b3649b7bed5c02bbaddc58407
# results/e1_eval_deepseek/verdicts_G_CERT.jsonl sha256 5c03ca0b5ae739bd89388dcbcc7226c27e93384508e134dfb2afa6fb7f431208
# results/e1_eval_deepseek/verdicts_G_FEAS.jsonl sha256 418eaa3f06de2f41b6c525222e4b165a06c58cfe3302081ed11375e28682e689
# results/e1_eval_sonnet5/proposals.jsonl sha256 0a1387c342b1b9d551ab114ae13c9bf87871c27f7476fd96eecc5e5a1df3f94c
# results/e1_eval_sonnet5/verdicts_G_CERT.jsonl sha256 87d3ebaefefe7b70915a861cc2f61dd3fb5e7e08df5f83756cf78ce5aa8f102c
# results/e1_eval_sonnet5/verdicts_G_FEAS.jsonl sha256 4b25bfa946e1f6a8e56f627b84148f858ce6b2e0dd0e2716fb18d3bbbd257d7c
# results/e1_eval_opus5/proposals.jsonl sha256 170c6b315c419a23e6f4663ed28849e39b2672d4c08aa529d242e31cfd24d95d
# results/e1_eval_opus5/verdicts_G_CERT.jsonl sha256 2c4a3d99410ce0bc38a8c230ffa3770f8f1fc20d514c732abf4d53d898f77744
# results/e1_eval_opus5/verdicts_G_FEAS.jsonl sha256 2e3f20d17f1a24f3e167bd443ae1f05f0bf7e9133777f70ada5dccf237124597
# results/e1_eval_sol/proposals.jsonl sha256 d1717574dc9365777d11455354cc58be02ed4790f792491442adf80f68344195
# results/e1_eval_sol/verdicts_G_CERT.jsonl sha256 3a06dbde336b05951afd45cf08f609612a095c7a0d1861f68c447e6c7ab16dab
# results/e1_eval_sol/verdicts_G_FEAS.jsonl sha256 e2436e281abdbd80e0702d221a839dc3f2c23b973d64fc2c507ca08c9a58762c
block,arm,model,mode,thinking,in_capability_set,in_table8,tau,n_eligible,n_applied,n_referred,referral_rate,referral_rate_quality_stage,false_block_rate,v3_separation_share,mean_anchor_bh,mean_excess_bh,mean_excess_damage_only_bh,cost_bh_lambda_0,cost_bh_lambda_1,cost_bh_lambda_2,cost_bh_lambda_4,cost_bh_lambda_8,cost_bh_lambda_20,lambda_bh,tau_star_grid,tau_star_grid_tied,tau_star_continuous,tau_star_continuous_plateau_hi,tau_star_grid_damage_only,tau_paper_fb5pct,agrees_with_paper,cost_at_tau_star_grid_bh,cost_at_tau_star_continuous_bh,cost_at_tau_paper_bh,regret_of_paper_tau_bh,cost_at_tau_frozen_020_bh,regret_of_frozen_tau_bh,lambda_lo_bh,lambda_hi_bh,target,target_tau,min_regret_over_lambda_grid_bh,note,benign_prevalence,tau_star_lambda_2,tau_star_lambda_8,tau_star_lambda_20
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.02,4000,501,3499,0.874750,0.067000,0.983125,0.006818,692.0577,0.0000,0.0000,0.0000,0.8748,1.7495,3.4990,6.9980,17.4950,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.05,4000,618,3382,0.845500,0.037750,0.980000,0.002273,692.0577,0.0000,0.0000,0.0000,0.8455,1.6910,3.3820,6.7640,16.9100,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.10,4000,706,3294,0.823500,0.015750,0.974375,0.002273,692.0577,0.0000,0.0000,0.0000,0.8235,1.6470,3.2940,6.5880,16.4700,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.15,4000,746,3254,0.813500,0.005750,0.971875,0.002273,692.0577,0.0000,0.0000,0.0000,0.8135,1.6270,3.2540,6.5080,16.2700,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.20,4000,746,3254,0.813500,0.005750,0.971875,0.002273,692.0577,0.0000,0.0000,0.0000,0.8135,1.6270,3.2540,6.5080,16.2700,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.30,4000,769,3231,0.807750,0.000000,0.970625,0.000000,692.0577,0.0000,0.0000,0.0000,0.8077,1.6155,3.2310,6.4620,16.1550,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,0.50,4000,769,3231,0.807750,0.000000,0.970625,0.000000,692.0577,0.0000,0.0000,0.0000,0.8077,1.6155,3.2310,6.4620,16.1550,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,non_think,no,yes,1.00,4000,769,3231,0.807750,0.000000,0.970625,0.000000,692.0577,0.0000,0.0000,0.0000,0.8077,1.6155,3.2310,6.4620,16.1550,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.02,4000,374,3626,0.906500,0.051500,0.996875,0.000000,692.0577,0.0000,0.0000,0.0000,0.9065,1.8130,3.6260,7.2520,18.1300,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.05,4000,469,3531,0.882750,0.027750,0.996875,0.000000,692.0577,0.0004,0.0004,0.0004,0.8831,1.7659,3.5314,7.0624,17.6554,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.10,4000,535,3465,0.866250,0.011250,0.995625,0.000000,692.0577,0.0004,0.0004,0.0004,0.8666,1.7329,3.4654,6.9304,17.3254,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.15,4000,563,3437,0.859250,0.004250,0.994375,0.000000,692.0577,0.0004,0.0004,0.0004,0.8596,1.7189,3.4374,6.8744,17.1854,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.20,4000,563,3437,0.859250,0.004250,0.994375,0.000000,692.0577,0.0004,0.0004,0.0004,0.8596,1.7189,3.4374,6.8744,17.1854,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.30,4000,580,3420,0.855000,0.000000,0.994375,0.000000,692.0577,0.0004,0.0004,0.0004,0.8554,1.7104,3.4204,6.8404,17.1004,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,0.50,4000,580,3420,0.855000,0.000000,0.994375,0.000000,692.0577,0.0004,0.0004,0.0004,0.8554,1.7104,3.4204,6.8404,17.1004,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained,think_high,no,yes,1.00,4000,580,3420,0.855000,0.000000,0.994375,0.000000,692.0577,0.0004,0.0004,0.0004,0.8554,1.7104,3.4204,6.8404,17.1004,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.02,4000,438,3562,0.890500,0.063000,0.987500,0.000000,692.0577,0.0000,0.0000,0.0000,0.8905,1.7810,3.5620,7.1240,17.8100,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.05,4000,546,3454,0.863500,0.036000,0.985625,0.000000,692.0577,0.0000,0.0000,0.0000,0.8635,1.7270,3.4540,6.9080,17.2700,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.10,4000,634,3366,0.841500,0.014000,0.980000,0.000000,692.0577,0.0000,0.0000,0.0000,0.8415,1.6830,3.3660,6.7320,16.8300,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.15,4000,670,3330,0.832500,0.005000,0.978750,0.000000,692.0577,0.0000,0.0000,0.0000,0.8325,1.6650,3.3300,6.6600,16.6500,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.20,4000,670,3330,0.832500,0.005000,0.978750,0.000000,692.0577,0.0000,0.0000,0.0000,0.8325,1.6650,3.3300,6.6600,16.6500,,,,,,,,,,,,,,,,,,,,,,,,
grid,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free,non_think,no,no,0.30,4000,690,3310,0.827500,0.000000,0.977500,0.000000,692.0577,0.0000,0.0000,0.0000,0.8275,1.6550,3.3100,6.6200,16.5500,,,,,,,,,,,,,,,,,,,,,,,,
